,Unnamed: 0,title,author,release year,book length,rating,number of ratings
428,428,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,2011,456.0,4.03,168341
429,429,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,2010,594.0,4.37,275495
432,432,"Shadow of Night (All Souls, #2)",Deborah Harkness,2012,584.0,4.07,219870
434,434,The Guardian (Paperback),Nicholas Sparks,2003,400.0,4.16,172815
435,435,The Longest Ride (Hardcover),Nicholas Sparks,2012,398.0,4.16,127530
436,436,Twice in a Blue Moon (Hardcover),Christina Lauren,2019,358.0,3.63,51050
437,437,"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,2010,528.0,4.39,109537
438,438,This Lullaby (Paperback),Sarah Dessen,2002,345.0,4.02,176700
441,441,"Losing Hope (Hopeless, #2)",Colleen Hoover,2013,321.0,4.29,135445
442,442,"Crossed (Matched, #2)",Ally Condie,2011,367.0,3.52,234069
446,446,Making Faces (ebook),Amy Harmon,2013,405.0,4.3,69574
448,448,"These Broken Stars (Starbound, #1)",Amie Kaufman,2013,389.0,3.9,68276
450,450,"The Secret (Highlands' Lairds, #1)",Julie Garwood,1992,379.0,4.25,49646
453,453,"When Beauty Tamed the Beast (Fairy Tales, #2)",Eloisa James,2011,372.0,4.06,27254
454,454,"The Royal We (Royal We, #1)",Heather Cocks,2015,454.0,3.81,61552
455,455,"Virgin River (Virgin River, #1)",Robyn Carr,2007,386.0,4.02,61829
456,456,The Upside of Falling (Hardcover),Alex Light,2020,288.0,3.65,63660
457,457,Like Water for Chocolate (Paperback),Laura Esquivel,1989,222.0,3.95,347670
458,458,P.S. I Like You (Hardcover),Kasie West,2016,329.0,4.05,54335
459,459,"Say Yes to the Marquess (Castles Ever After, #2)",Tessa Dare,2014,374.0,3.83,21080
463,463,Something to Talk About (Paperback),Meryl Wilsner,2020,336.0,3.66,19263
464,464,"Tools of Engagement (Hot & Hammered, #3)",Tessa Bailey,2020,368.0,3.79,36814
467,467,"The Upside of Unrequited (Simonverse, #2)",Becky Albertalli,2017,336.0,3.91,72060
468,468,"Edenbrooke (Edenbrooke, #1)",Julianne Donaldson,2012,264.0,4.32,47990
470,470,"Party of Two (The Wedding Date, #5)",Jasmine Guillory,2020,312.0,3.78,41411
473,473,"Evermore (The Immortals, #1)",Alyson Noel,2009,301.0,3.59,282408
475,475,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,1998,330.0,4.23,59388
476,476,"Blue Dahlia (In the Garden, #1)",Nora Roberts,2004,372.0,4.12,70356
481,481,"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter,2008,379.0,4.05,82413
482,482,"Mystery Man (Dream Man, #1)",Kristen Ashley,2011,494.0,4.21,70047
483,483,"Only When It's Us (Bergman Brothers, #1)",Chloe Liese,2020,386.0,4.01,26179
485,485,"Sweet Filthy Boy (Wild Seasons, #1)",Christina Lauren,2014,418.0,4.04,46055
486,486,"Burn for Me (Hidden Legacy, #1)",Ilona Andrews,2014,406.0,4.32,53398
488,488,"Opal (Lux, #3)",Jennifer L. Armentrout,2012,394.0,4.26,143863
492,492,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,2004,291.0,4.12,253637
493,493,You've Reached Sam (Hardcover),Dustin Thao,2021,296.0,3.77,52535
494,494,The Fill-In Boyfriend (Paperback),Kasie West,2015,352.0,3.9,61519
495,495,How to Fail at Flirting (Paperback),Denise  Williams,2020,343.0,3.82,24275
